movie,ratings
36,4.0
41,4.0
82,5.0
154,3.0
235,4.0
247,5.0
265,5.0
300,4.0
307,1.0
308,1.0
431,2.0
448,5.0
475,4.0
508,4.0
523,3.0
531,4.0
562,4.0
574,1.0
593,5.0
608,5.0
628,2.0
670,5.0
702,3.0
778,3.0
858,3.0
892,4.0
908,4.0
909,3.0
919,3.0
923,1.0
924,5.0
949,4.0
968,5.0
971,5.0
982,3.0
1084,4.0
1094,5.0
1096,2.0
1104,5.0
1131,2.0
1132,4.0
1150,4.0
1161,5.0
1177,5.0
1179,3.0
1186,4.0
1193,3.0
1196,5.0
1203,3.0
1207,3.0
141,3.5
165,4.0
282,3.5
318,4.0
356,4.5
457,4.0
589,4.0
590,4.0
592,4.0
593,5.0
780,3.5
852,4.0
916,4.5
923,4.5
1030,4.0
1097,4.5
1196,4.0
1200,4.0
1207,5.0
1219,4.5
1234,5.0
1246,4.0
1247,4.5
1254,4.5
1265,5.0
1266,4.0
1267,5.0
1272,4.5
1293,4.5
1304,5.0
1320,4.0
1345,4.5
1370,5.0
1374,4.0
1393,3.5
1394,4.0
1396,4.0
1610,5.0
1792,4.0
1959,4.0
1997,1.5
2009,4.0
2011,4.0
2088,2.5
2100,2.5
2302,4.0
2355,3.5
2407,2.5
2478,2.5
2640,4.5
1,5.0
47,5.0
50,4.5
110,4.0
150,5.0
235,4.0
288,2.0
296,4.0
318,4.5
356,5.0
357,4.0
377,3.5
380,4.5
457,4.5
469,4.0
480,3.5
500,4.0
508,5.0
527,4.5
587,3.5
589,4.0
593,5.0
608,5.0
648,3.5
778,2.5
780,4.0
923,4.0
924,4.0
1079,4.0
1097,4.0
1127,4.0
1198,5.0
1225,5.0
1246,4.5
1258,4.0
1270,4.0
1291,4.0
1307,4.0
1391,3.0
1527,4.0
1580,5.0
1584,4.0
1610,4.0
1641,4.0
1682,4.0
1961,4.0
1971,3.5
2000,4.5
2054,3.0
2174,3.5
1,5.0
10,4.0
16,4.0
19,3.0
25,3.0
32,5.0
34,3.0
39,3.0
47,3.0
150,5.0
165,4.0
186,2.0
208,3.0
218,2.0
222,5.0
225,3.0
231,3.0
237,4.0
246,4.0
265,2.0
288,3.0
296,5.0
300,5.0
318,5.0
329,3.0
333,3.0
337,3.0
342,4.0
344,4.0
355,3.0
356,2.0
357,5.0
377,4.0
380,3.0
440,3.0
457,5.0
474,4.0
480,4.0
508,5.0
527,5.0
585,3.0
586,4.0
587,4.0
588,4.0
589,4.0
592,4.0
593,3.0
608,5.0
671,5.0
736,3.0
1,5.0
6,3.0
10,4.0
47,5.0
141,4.5
150,4.0
231,1.0
260,4.0
293,2.5
296,4.5
318,5.0
344,1.5
349,3.5
356,4.5
357,5.0
377,1.5
380,4.0
457,5.0
480,4.5
500,4.5
527,5.0
587,3.5
589,3.0
593,5.0
597,3.5
608,4.0
616,2.0
648,4.5
733,4.5
736,3.0
743,0.5
780,4.0
1089,3.5
1097,4.0
1136,2.0
1193,3.0
1196,3.0
1198,3.5
1210,3.0
1265,5.0
1270,5.0
1438,3.0
1580,3.0
1617,3.0
1721,5.0
2376,3.5
2421,0.5
2424,4.5
2571,3.0
2628,4.0
1,4.0
45,3.5
186,4.0
252,4.0
333,3.0
440,4.0
471,5.0
588,3.5
596,4.0
628,3.0
784,3.5
852,3.5
953,5.0
1073,4.0
1198,3.0
1242,4.0
1270,4.5
1291,3.0
1917,3.0
2011,4.0
2012,3.5
2080,4.0
2081,3.5
2268,3.5
2355,4.0
2804,2.5
2858,4.0
3114,4.0
3408,4.0
4016,3.5
4022,4.5
4886,4.5
4896,5.0
4992,4.0
4993,2.5
5299,4.0
5377,5.0
5816,4.0
6708,3.0
1,5.0
2,4.0
3,3.0
5,4.0
10,4.0
